| source                                      | basename                   | familyname            | variants | origPixelSize | origAscent | origDescent | winFix | pixelSize | ascent | descent | winHt | marked | weight | italic  | tags  |
|:--------------------------------------------|:---------------------------|:----------------------|:---------|:--------------|:-----------|:------------|:-------|:----------|:-------|:--------|:------|:-------|:-------|:--------|:------|
| xorg-bh-lucidatypewriter-100dpi/lutRS08.bdf | Lucida-Typewriter-8H       | Lucida Typewriter 8H  |          | 11            | 10         | 2           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS08.bdf | Lucida-Typewriter-8H-Bold  | Lucida Typewriter 8H  | Bold     | 11            | 9          | 2           | 0      |           | 10     |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS10.bdf | Lucida-Typewriter-10H      | Lucida Typewriter 10H |          | 14            | 13         | 3           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS10.bdf | Lucida-Typewriter-10H-Bold | Lucida Typewriter 10H | Bold     | 14            | 13         | 3           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS12.bdf | Lucida-Typewriter-12H      | Lucida Typewriter 12H |          | 17            | 15         | 3           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS12.bdf | Lucida-Typewriter-12H-Bold | Lucida Typewriter 12H | Bold     | 17            | 15         | 3           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS14.bdf | Lucida-Typewriter-14H      | Lucida Typewriter 14H |          | 20            | 18         | 4           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS14.bdf | Lucida-Typewriter-14H-Bold | Lucida Typewriter 14H | Bold     | 20            | 18         | 4           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS18.bdf | Lucida-Typewriter-18H      | Lucida Typewriter 18H |          | 25            | 23         | 5           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS18.bdf | Lucida-Typewriter-18H-Bold | Lucida Typewriter 18H | Bold     | 25            | 23         | 5           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS19.bdf | Lucida-Typewriter-19H      | Lucida Typewriter 19H |          | 26            | 24         | 5           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS19.bdf | Lucida-Typewriter-19H-Bold | Lucida Typewriter 19H | Bold     | 26            | 24         | 5           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutRS24.bdf | Lucida-Typewriter-24H      | Lucida Typewriter 24H |          | 34            | 31         | 7           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-100dpi/lutBS24.bdf | Lucida-Typewriter-24H-Bold | Lucida Typewriter 24H | Bold     | 34            | 31         | 7           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-75dpi/lutRS08.bdf  | Lucida-Typewriter-8        | Lucida Typewriter 8   |          | 8             | 8          | 2           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-75dpi/lutBS08.bdf  | Lucida-Typewriter-8-Bold   | Lucida Typewriter 8   | Bold     | 8             | 8          | 2           | 0      |           |        |         |       |        | Bold   |         |       |
| xorg-bh-lucidatypewriter-75dpi/lutRS10.bdf  | Lucida-Typewriter-10       | Lucida Typewriter 10  |          | 10            | 9          | 2           | 0      |           |        |         |       |        |        |         |       |
| xorg-bh-lucidatypewriter-75dpi/lutBS10.bdf  | Lucida-Typewriter-10-Bold  | Lucida Typewriter 10  | Bold     | 10            | 9          | 2           | 0      |           |        |         |       |        | Bold   |         |       |
